Customer_ID,Age,Gender,City_Tier,Account_Age_Days,Annual_Income,Total_Orders,Avg_Order_Value,Total_Spend,Discount_Usage_Pct,Return_Rate,Preferred_Category,Days_Since_Last_Order,App_Sessions_Per_Week,Wishlist_Items,Support_Tickets,Library_Visits,School_Type,Payment_Method,Device_Type,Browser_Language,Screen_Resolution,Signup_Source,True_Segment
CUST_100000,31,Male,TIER2,2672.0,106221.63429557276,90,2890.101692732518,275839.4599130903,0.08401818651034328,0.05738054944426267,  Electronics  ,11,7.512168998462323,4,0,3.0, Public,Credit Card,Mobile ,en-IN,1920x1080,Google_Ad,1
CUST_100001,61,f,  Tier-1  ,761.0,236132.88174480558,9,25948.282306978977,242861.50784561856,0.04626291814277086,0.022338645589638037,  ELEC  ,41,4.461984216832182,1,0,1.0,Private,Credit Card,,en-IN,375x812,Organic,2
CUST_100002,42,MALE,Tier1,834.0,212234.21185245883,3,10378.557317475479,35803.09154544048,,0.02464271333466835,High-End,79,2.1907724102037136,3,0,1.0,Private,Credit Card,  Desktop  ,en-IN,375x812,Google_Ad,2
CUST_100003,23,Male ,Tier3,758.0,35337.23536903707,66,281.2963084318889,20813.828934071225,0.8748608306277337,0.2665975891560206,Electronics,9,-999.0,14,3,,Public,UPI,Mobile ,en-IN,1366x768,Influencer,0
CUST_100004,23,Female,Tier2,501.0,28707.6909028916,67,353.0375225237005,20838.710223188675,66.47716156402234,0.10337553146582046,grocery,8,8.628295884184865,8,0,,GOVT,COD,  Mobile  ,en-IN,1920x1080,Organic,0
CUST_100005,34,Female,Tier2,778.0,26069.584965962495,39,389.5389516608914,16617.42135041771,1.932975415218943,0.22741707382532106,elec,4,7.858610043601605,13,3,0.0,Public,  UPI  ,Mobile ,en-IN,414x896,Google_Ad,0
CUST_100006,23,man,Tier 3,986.0,24906.43863113332,40,246.55732131609386,10954.992794833728,0.7742394620412217,0.2270295670980668,Grocery,14,8.040377291096265,7,3,0.0,government,UPI,Desktop,gu-IN,1920x1080,Organic,0
CUST_100007,51,  male  , Tier1,1557.0,150194.25997043963,4,15362.058517519872,61361.81673091124,0.03360939172126744,0.04890590173639239,Electronics,102,3.366848393735236,4,0,0.0,private,NetBanking,Desktop,mr-IN,1366x768,Organic,2
CUST_100008,43,Female,  Tier1  ,1468.0,,12,14873.131044873558,152002.47637607463,0.21835868397756977,0.04443905106490725,ELECTRONICS,116,2.463706014737363,3,0,2.0,Private,Credit Card,Desktop,en-IN,1920x1080,Referral,2
CUST_100009,47,MAN ,Tier1,2829.0,72688.7860758591,90,2879.520333824799,229003.09979748036,0.19075830991560108,0.07126716602386571,  Fashion  ,14,3.454998397771133,8,1,4.0,Private,Credit Card,,bn-IN,414x896,Google_Ad,1
CUST_100010,53,m,Tier1 ,2834.0,207951.76710674615,11,9696.191047029904,97944.03804762963,0.007723962944686991,-1.0,premium,66,3.858883649266007,2,0,2.0,Private,Credit Card,Desktop,hi-IN,1366x768,Organic,2
CUST_100011,18,Male,Tier3,384.0,26873.043838756625,55,461.2887418156248,27598.472183755228,70.78856674119261,0.1801361797711712,Fashion,6,6.503313043349904,13,2,1.0,Public ,Wallet,Mobile,en-US,1366x768,Facebook_Ad,0
CUST_100012,34,  MALE  ,Tier-3,808.0,33209.126487012276,34,383.95462466281043,11858.86769857096,71.05250858466636,0.24392126937297057,Apparel,25,6.620338079087455,18,0,1.0,government,Wallet,,bn-IN,375x812,Referral,0
CUST_100013,31,Male,Tier2,636.0,21298.626529971607,69,336.13998271369644,26298.406922135786,0.724079172672917,0.26036563708673083,electronics,4,7.367809596508277,16,2,,government,Wallet,Mobile,hi-IN,1366x768,Google_Ad,0
CUST_100014,20,FEMALE,Tier-3,515.0,,6,609.445921879248,4157.802916409825,55.48203338709872,0.15960247059693397,Beauty,75,8.0,53,5,1.0,  govt  ,UPI,Mobile,mr-IN,360x800,,3
CUST_100015,19,woman,Tier-3 ,924.0,41590.39075367123,2,1024.4954982121121,2321.705793571497,0.47883202496733873,0.1941788865933323,clothing,82,20.82200580898261,40,5,0.0,Public,upi,MOBILE,en-IN,414x896,Google_Ad,3
CUST_100016,27,MAN ,Tier3,385.0,,44,374.04315659183993,15805.397536372793,0.8533706238708259,0.29526816355859364,food,4,6.2320713253525035,17,2,2.0,pvt ltd,UPI,  Mobile  ,hi-IN,1920x1080,Google_Ad,0
CUST_100017,37,  Man  ,Tier 1,1136.0,,7,300.0,2114.8749193112053,0.402082178572742,0.3715796229244868,ELEC,20,17.247647526321558,58,6,3.0,GOVT,Wallet,  Mobile  ,en-IN,360x800,,3
