Customer_ID,Age,Gender,City_Tier,Account_Age_Days,Annual_Income,Total_Orders,Avg_Order_Value,Total_Spend,Discount_Usage_Pct,Return_Rate,Preferred_Category,Days_Since_Last_Order,App_Sessions_Per_Week,Wishlist_Items,Support_Tickets,Library_Visits,School_Type,Payment_Method,Device_Type,Browser_Language,Screen_Resolution,Signup_Source,True_Segment
CUST_100000,31,Male,2,2672,106221.6343,90,2890.101693,275839.4599,0.084018187,0.057380549,Electronics,11,7.512168998,4,0,3,Public,Credit Card,Mobile,English (India),1920x1080,Google_Ad,1
CUST_100001,61,Female,1,761,236132.8817,9,25948.28231,242861.5078,0.046262918,0.022338646,Electronics,41,4.461984217,1,0,1,Private,Credit Card,NULL,English (India),375x812,Organic,2
CUST_100002,42,Male,1,834,212234.2119,3,10378.55732,35803.09155,0,0.024642713,High-end,79,2.19077241,3,0,1,Private,Credit Card,Desktop,English (India),375x812,Google_Ad,2
CUST_100003,23,Male,3,758,35337.23537,66,281.2963084,20813.82893,0.874860831,0.266597589,Electronics,9,999,14,3,0,Public,UPI,Mobile,English (India),1366x768,Influencer,0
CUST_100004,23,Female,2,501,28707.6909,67,353.0375225,20838.71022,66.47716156,0.103375531,Grocery,8,8.628295884,8,0,0,Government,Cash on Delivery,Mobile,English (India),1920x1080,Organic,0
CUST_100005,34,Female,2,778,26069.58497,39,389.5389517,16617.42135,1.932975415,0.227417074,Electronics,4,7.858610044,13,3,0,Public,UPI,Mobile,English (India),414x896,Google_Ad,0
CUST_100006,23,Male,3,986,24906.43863,40,246.5573213,10954.99279,0.774239462,0.227029567,Grocery,14,8.040377291,7,3,0,Government,UPI,Desktop,Gujarati (India),1920x1080,Organic,0
CUST_100007,51,Male,1,1557,150194.26,4,15362.05852,61361.81673,0.033609392,0.048905902,Electronics,102,3.366848394,4,0,0,Private,Net Banking,Desktop,Marathi (India),1366x768,Organic,2
CUST_100009,47,Male,1,2829,72688.78608,90,2879.520334,229003.0998,0.19075831,0.071267166,Fashion,14,3.454998398,8,1,4,Private,Credit Card,NULL,Bengali (India),414x896,Google_Ad,1
CUST_100010,53,Male,1,2834,207951.7671,11,9696.191047,97944.03805,0.007723963,-1,Premium,66,3.858883649,2,0,2,Private,Credit Card,Desktop,Hindi (India),1366x768,Organic,2
CUST_100011,18,Male,3,384,26873.04384,55,461.2887418,27598.47218,70.78856674,0.18013618,Fashion,6,6.503313043,13,2,1,Public,Wallet,Mobile,English (United States),1366x768,Facebook_Ad,0
CUST_100012,34,Male,3,808,33209.12649,34,383.9546247,11858.8677,71.05250858,0.243921269,Apparel,25,6.620338079,18,0,1,Government,Wallet,NULL,Bengali (India),375x812,Referral,0
CUST_100013,31,Male,2,636,21298.62653,69,336.1399827,26298.40692,0.724079173,0.260365637,Electronics,4,7.367809597,16,2,0,Government,Wallet,Mobile,Hindi (India),1366x768,Google_Ad,0
CUST_100015,19,Female,3,924,41590.39075,2,1024.495498,2321.705794,0.478832025,0.194178887,Clothing,82,20.82200581,40,5,0,Public,UPI,Mobile,English (India),414x896,Google_Ad,3
CUST_100018,37,Female,1,2532,65032.6643,71,2116.422896,155613.6073,9.738267032,0.014374376,H&l,11,6.741970534,9,0,6,Private Ltd,Credit Card,Desktop,English (India),1366x768,Organic,1
CUST_100019,22,Male,3,424,30832.87935,72,259.0290018,19160.30412,69.00387844,0.268856223,Grocery,24,9.628522404,5,0,0,Government,Wallet,Mobile,English (India),1280x720,Organic,0
CUST_100021,30,Female,2,780,37152.68893,7,886.3617582,6182.595059,33.13892346,0.158817936,Beauty,24,13.60372354,59,5,3,Private,UPI,Desktop,English (United States),360x800,Referral,3
CUST_100022,30,Male,3,881,17561.61765,40,412.8204266,18932.3812,0,0.212488323,Electronics,14,8.992964827,7,0,1,Public,UPI,Mobile,Tamil (India),1280x720,Google_Ad,0
CUST_100023,22,Male,2,926,31823.7842,61,395.8864503,24426.24386,0.75644173,0.184738425,Fashion,12,7.280396195,5,0,1,Private,UPI,Mobile,English (United States),414x896,Facebook_Ad,0
CUST_100024,45,Female,3,1327,38753.62443,17,1372.678145,26617.7104,0.546391988,0.297262227,Fashion,193,4.621950325,14,3,3,Private,Credit Card,Desktop,Marathi (India),1366x768,Google_Ad,4
CUST_100026,40,Female,3,1446,35169.94381,12,1518.014507,18051.41287,0.441115086,0.463189522,Electronics,86,3.523049901,11,6,0,Public,Credit Card,Desktop,English (United States),414x896,Google_Ad,4
